code,name,level,status,release_date,superseded_by,entry_requirements,cricos_code,core_units,elective_units,total_units
FNS60222,Advanced Diploma of Accounting,,current,2022-06-15,,"Prior to commencing this qualification an individual must have completed the following qualifications (or equivalent).

FNS50222 Diploma of Accounting; or its superseded version FNS50217 Diploma of Accounting or equivalent, provided the listed elective unit BSBTEC402 Design and produce complex spreadsheets (or equivalent) has been completed by those seeking to enrol.",,3,11,14
ICT50220,Diploma of Information Technology,,current,2022-02-03,,Nil,,6,14,20
ICT60220,Advanced Diploma of Information Technology,,current,2022-02-03,,nil,,6,10,16
ICT60220 ,Advanced Diploma of Information Technology,,current,2022-02-03,,Nil,,6,10,16
MEM30219,Certificate III in Engineering - Mechanical Trade,,current,2025-09-04,,Nil,,33,63,96
MEM31922,Certificate III in Engineering - Fabrication Trade,,current,2022-12-19,MEM31925 Certificate III in Engineering - Fabrication Trade,Nil,,33,63,96
MEM31925,Certificate III in Engineering - Fabrication Trade,,current,2025-09-04,,Nil,,33,63,96
RII60520,Advanced Diploma of Civil Construction Design,,current,2021-03-12,,Nil,,5,7,12
SHB30221,Certificate III in Make-Up,,current,2021-12-16,,Nil,,8,7,15
SHB30321,Certificate III in Nail Technology,,current,2021-12-16,,Nil,,10,5,15
SHB30416,Certificate III in Hairdressing,,current,2016-03-31,,nil,,21,7,28
SHB30516,Certificate III in Barbering,,current,2016-03-31,,,,21,5,26
SHB40216,Certificate IV in Hairdressing,,current,2016-03-31,,"Entry to this qualification is open to individuals who have:

1. achieved a Certificate III in Hairdressing (or equivalent); and
2. at least one year post-qualification full time employment experience as a hairdresser in a salon environment where they have applied the skills and knowledge covered in the above (or equivalent) qualification.",,2,9,11
SHB50121,Diploma of Beauty Therapy,,current,2021-12-16,,nil,,20,9,29
SHB50216,Diploma of Salon Management,,current,2016-03-31,,Nil,,7,3,10
SHB60125,Advanced Diploma of Intense Pulsed Light and Laser for Hair Reduction,,current,2025-08-13,,"Entry to this qualification is open to individuals who:

have achieved a Diploma of Beauty Therapy; AND
have 12 months post-qualification experience as a beauty therapist with a primary focus on providing facial services, skin services and hair reduction services;
OR

are an Enrolled Nurse or Registered Nurse; AND
have 12 months post-qualification experience in the application of knowledge in human biology, anatomy and physiology.",,7,,7
SIR20216,Certificate II in Retail Services,,current,2020-10-21,,Nil,,7,5,12
SIR30216,Certificate III in Retail,,current,2020-10-21,,Nil,,8,5,13
SIR40316,Certificate IV in Retail Management,,current,2021-04-28,,"Entry to this qualification is open to individuals who:

have achieved a Certificate III in Retail
or

have relevant industry employment experience in a job role that has involved the application of skills and knowledge described in core units of competency from the SIR30216 Certificate III in Retail.",,7,4,11
SIT30821,Certificate III in Commercial Cookery,,current,2022-06-10,,nil,,20,5,25
SIT31021,Certificate III in Patisserie,,current,2022-06-10,,Nil,,15,6,21
SIT40521,Certificate IV in Kitchen Management,,current,2022-06-10,,nil,,27,6,33
SIT40721,Certificate IV in Patisserie,,current,2022-09-09,,Nil,,26,6,32
SIT50122,Diploma of Travel and Tourism Management,,current,2022-09-09,,Nil,,13,10,23
SIT50422,Diploma of Hospitality Management,,current,2022-09-09,,nil,,11,17,28
SIT60322,Advanced Diploma of Hospitality Management,,current,2022-06-10,,Nil,,14,19,33
SOA,Manual Handling,,current,,,,,,,
